index,Variable,Random_Example,Total_Records,Nulls,Blanks,Distinct,Max_Value,Min_Value,Range,Negatives,Positives,Equal_Zero,Average,Median,Variance,Standard_Deviation,Quartiles,Max_Length,Min_Length,Mode
0,spotify_id,0Q1ySdDoHDiotYn4nbMXNm,865603,0,0,11721,3rUGC1vUpkDG9CZFHMur1t,2JQs2lWo7CwrWKjuz34lAo,NaN,0,0,0,NaN,NaN,NaN,NaN,,22,22,3rUGC1vUpkDG9CZFHMur1t
1,name,Pasaka,865603,27,0,10774,greedy,Pargi 6,NaN,0,0,0,NaN,NaN,NaN,NaN,,286,1,greedy
2,artists,"Peso Pluma, Gabito Ballesteros, Junior H",865603,27,0,7312,Taylor Swift,"MadMan, thasup",NaN,0,0,0,NaN,NaN,NaN,NaN,,278,1,Taylor Swift
3,daily_rank,40,865603,0,0,50,50,1,49.0,0,865603,0,25.486771649358886,25.0,208.15921321666428,14.427723771151992,"{0.25: 13.0, 0.5: 25.0, 0.75: 38.0}",2,1,1
4,daily_movement,1,865603,0,0,99,49,-49,98.0,314110,336526,214967,0.8759558365671098,0.0,48.792525902250354,6.985164701154179,"{0.25: -1.0, 0.5: 0.0, 0.75: 2.0}",3,1,0
5,weekly_movement,-12,865603,0,0,99,49,-49,98.0,370671,398955,95977,2.8682144123807336,0.0,152.89187951376957,12.364945592834996,"{0.25: -3.0, 0.5: 0.0, 0.75: 5.0}",3,1,0
6,country,NG,865603,11707,0,72,DO,LU,NaN,0,0,0,NaN,NaN,NaN,NaN,,3,2,DO
7,snapshot_date,2023-10-27,865603,0,0,239,2024-03-16,2024-04-22,NaN,0,0,0,NaN,NaN,NaN,NaN,,10,10,2024-03-16
8,popularity,88,865603,0,0,101,100,0,100.0,0,859816,5787,77.22338878215533,81.0,257.2027054058905,16.037540503639907,"{0.25: 66.0, 0.5: 81.0, 0.75: 89.0}",3,1,87
9,is_explicit,true,865603,0,0,2,,,NaN,0,0,0,NaN,NaN,NaN,NaN,,5,4,false
10,duration_ms,170500,865603,0,0,9721,939666,0,939666.0,0,865576,27,193389.63063436703,185917.0,2601168586.739193,51001.652784387225,"{0.25: 160688.0, 0.5: 185917.0, 0.75: 218512.0}",6,1,131872
11,album_name,SZÍNVAK,865603,307,0,8130,nadie sabe lo que va a pasar mañana,Mamasota,NaN,0,0,0,NaN,NaN,NaN,NaN,,286,1,nadie sabe lo que va a pasar mañana
12,album_release_date,2021-12-17,865603,307,0,1833,2023-10-13,2014-11-11,NaN,0,0,0,NaN,NaN,NaN,NaN,,10,3,2023-10-13
13,danceability,0.606,865603,0,0,753,0.988,0,0.988,0,865602,1,0.682437029446525,0.701,0.01923187424276117,0.13867903317647254,"{0.25: 0.589, 0.5: 0.701, 0.75: 0.788}",6,3,0.75
14,energy,0.589,865603,0,0,905,0.997,0.0000201,0.9969799,0,865603,0,0.6488276525632418,0.67,0.027017937681904355,0.16437134081677485,"{0.25: 0.545, 0.5: 0.67, 0.75: 0.764}",8,3,0.733
15,key,4,865603,0,0,12,11,0,11.0,0,794600,71003,5.454382667342881,6.0,12.563616397829525,3.5445192054536148,"{0.25: 2.0, 0.5: 6.0, 0.75: 9.0}",2,1,1
16,loudness,-7.574,865603,0,0,6701,3.233,-37.334,40.567,864446,1157,0,-6.507367056260203,-6.073,6.959581766125828,2.6381019248933177,"{0.25: -7.873, 0.5: -6.073, 0.75: -4.772}",7,3,-3.18
17,mode,1,865603,0,0,2,1,0,1.0,0,466759,398844,0.5392298779001459,1.0,0.24846130371834382,0.49845892881795567,"{0.25: 0.0, 0.5: 1.0, 0.75: 1.0}",1,1,1
18,speechiness,0.0557,865603,0,0,1224,0.921,0,0.921,0,865602,1,0.09690571948110156,0.059,0.008349425557316175,0.09137519114790499,"{0.25: 0.04, 0.5: 0.059, 0.75: 0.113}",6,3,0.0319
19,acousticness,0.396,865603,0,0,2289,0.996,0.00000753,0.99599247,0,865603,0,0.2762209602547127,0.184,0.06437474983912601,0.2537217961451598,"{0.25: 0.0709, 0.5: 0.184, 0.75: 0.436}",8,3,0.183
20,instrumentalness,0,865603,0,0,3045,0.974,0,0.974,0,448595,417008,0.01729067567755657,1.3e-06,0.008711306302785476,0.09333437899715986,"{0.25: 0.0, 0.5: 1.3e-06, 0.75: 7.57e-05}",8,3,0
21,liveness,0.474,865603,0,0,1292,0.978,0.0145,0.9635,0,865603,0,0.1726280979848729,0.119,0.015901567704717925,0.12610141832952523,"{0.25: 0.0966, 0.5: 0.119, 0.75: 0.212}",6,3,0.114
22,valence,0.817,865603,0,0,1051,0.992,0,0.992,0,865602,1,0.5404909034626728,0.54,0.0527190608215139,0.22960631703312062,"{0.25: 0.362, 0.5: 0.54, 0.75: 0.726}",6,3,0.844
23,tempo,117.011,865603,0,0,9278,227.895,0,227.895,0,865602,1,122.5781556637396,119.984,804.3026344439293,28.360229802382232,"{0.25: 99.986, 0.5: 119.984, 0.75: 141.904}",7,3,111.018
24,time_signature,4,865603,0,0,5,5,0,5.0,0,865602,1,3.896536865052455,4.0,0.1853877978105037,0.4305668331519553,"{0.25: 4.0, 0.5: 4.0, 0.75: 4.0}",1,1,4